"id","parent_interest_id","interest_name","created_at","updated_at"
1,NULL,"Arts and Literature","2024-02-20 10:51:42.209434+08","2024-02-20 10:51:42.209434+08"
2,NULL,"Biographies and Memoirs","2024-02-20 10:52:50.978551+08","2024-02-20 10:52:50.978551+08"
3,NULL,"Education and Reference","2024-02-20 10:52:50.978551+08","2024-02-20 10:52:50.978551+08"
4,NULL,"Health and Life","2024-02-20 10:52:50.978551+08","2024-02-20 10:52:50.978551+08"
5,NULL,"Literature","2024-02-20 10:52:50.978551+08","2024-02-20 10:52:50.978551+08"
6,NULL,"History and Culture","2024-02-20 10:52:50.978551+08","2024-02-20 10:52:50.978551+08"
7,NULL,"Novels","2024-02-20 10:52:50.978551+08","2024-02-20 10:52:50.978551+08"
8,NULL,"Religion and Philosophy","2024-02-20 10:52:50.978551+08","2024-02-20 10:52:50.978551+08"
9,NULL,"Science and Nature","2024-02-20 10:52:50.978551+08","2024-02-20 10:52:50.978551+08"
10,NULL,"Social Sciences","2024-02-20 10:52:50.978551+08","2024-02-20 10:52:50.978551+08"
11,NULL,"Tourism and Geography","2024-02-20 10:52:50.978551+08","2024-02-20 10:52:50.978551+08"
